creator,date,caption,likes,comments,engagement,first_seen,last_seen
abhishek_ux,2/16/2026,"You launched. Nobody's visiting. Here's what you skipped:  → Google Search Console  → Tells Google y",61888,15888,77776,2026-08-30,2026-08-30
abhishek_ux,2/10/2026,"My stack for shipping 3 apps as a solo builder (before my team kicks in):  → Flutter for the app → O",28269,470,28739,2026-08-30,2026-08-30
abhishek_ux,2/7/2026,"APP LAUNCH CHECKLIST  App Store Stuff  → App title with keywords → Subtitle (don't leave empty) → Ap",58753,4261,63014,2026-08-30,2026-08-30
abhishek_ux,8/27/2026,"The most important design review Gully Crix ever had was a Sunday match in direct sunlight 🏏☀️  You",34,1,35,2026-08-30,2026-08-30
abhishek_ux,8/26/2026,"took 5 months to crack the top 10 for a keyword in my app people asked me what hack I used there was",45,3,48,2026-08-30,2026-08-30
abhishek_ux,8/19/2026,"10,000+ downloads, ₹0 ad spend. The growth loop was never outside the app - it was the app.  Every s",115,11,126,2026-08-30,2026-08-30
abhishek_ux,8/13/2026,"Fast apps keep the counter stocked. Slow apps run to the godown. 🏃  Same phone. Same internet. Tota",73,3,76,2026-08-30,2026-08-30
abhishek_ux,8/12/2026,"""Gaya kahan mera paisa?""  Building MyFinBee to fix exactly this. We're ditching the complicated jarg",379,6,385,2026-08-30,2026-08-30
abhishek_ux,7/14/2026,"And ye sab bina ads pe ek paisa lagaye. Organic love. ❤️ Thanks for your support.",54,6,60,2026-08-30,2026-08-30
abhishek_ux,6/15/2026,"Scoring cricket matches has never been easier. 🏏📊  From live scoring to detailed match statistics,",204,17,221,2026-08-30,2026-08-30
abhishek_ux,6/3/2026,"Gully Crix has climbed up on the charts. It ranks #106 in the sports category.  Thanks for all the l",89,11,100,2026-08-30,2026-08-30
abhishek_ux,5/31/2026,"Mera weekend timepass with @gullycrix",190,13,203,2026-08-30,2026-08-30
