creator,date,caption,likes,comments,engagement,first_seen,last_seen
ayushpanchmiyaai,5/21/2026,"Two weeks in SF and I'm not the same person who landed here.  This city makes you feel like you're e",559,21,580,2026-08-30,2026-08-30
ayushpanchmiyaai,4/11/2026,"1.5 years ago, I gave my last talk. That day, I made a promise to myself …  I am not coming back unt",313,15,328,2026-08-30,2026-08-30
ayushpanchmiyaai,1/20/2026,"I stopped searching for leads today.  Instead, I described who I wanted to reach  and let Claude + A",7286,5866,13152,2026-08-30,2026-08-30
ayushpanchmiyaai,8/29/2026,"Comment ""UNSLOTH"" and I will share you the link!",109,98,207,2026-08-30,2026-08-30
ayushpanchmiyaai,8/27/2026,"Comment 'Voice' and I will DM you the link!",65,18,83,2026-08-30,2026-08-30
ayushpanchmiyaai,8/25/2026,"Comment ""Tools"" and I will share you the link!🔗",273,58,331,2026-08-30,2026-08-30
ayushpanchmiyaai,8/24/2026,"Comment 'OPEN' and I will share you the link!",139,228,367,2026-08-30,2026-08-30
ayushpanchmiyaai,8/20/2026,"Comment 'Open' and I will DM you the link 🔗",429,134,563,2026-08-30,2026-08-30
ayushpanchmiyaai,8/18/2026,"Comment 'HUMAN' and I will share you the link!",32,29,61,2026-08-30,2026-08-30
ayushpanchmiyaai,8/17/2026,"Comment 'TUTORIAL' and i will share you the link!",46,14,60,2026-08-30,2026-08-30
ayushpanchmiyaai,8/15/2026,"Comment 'YT' and I will share you the link!",142,163,305,2026-08-30,2026-08-30
ayushpanchmiyaai,8/13/2026,"Comment 'Host' and I will share you the link!",100,80,180,2026-08-30,2026-08-30
