creator,date,caption,likes,comments,engagement,first_seen,last_seen
developer_mannjadwani,7/7/2026,"How do you find the best AI tools?",11144,1682,12826,2026-08-30,2026-08-30
developer_mannjadwani,6/30/2024,"Day 33 of 100 Days 100 AI Tools  . . Comment ""Profile"" to get the link",17081,18220,35301,2026-08-30,2026-08-30
developer_mannjadwani,4/23/2024,"Make Websites in 5 Minutes Using AI . . Welcome to the future of website creation! In this video, we",46103,68889,114992,2026-08-30,2026-08-30
developer_mannjadwani,8/29/2026,"Instead of wasting your AI tokens, do this",111,46,157,2026-08-30,2026-08-30
developer_mannjadwani,8/27/2026,"How to scrape any platform with AI",71,63,134,2026-08-30,2026-08-30
developer_mannjadwani,8/24/2026,"1500 users in less than 10 days",129,27,156,2026-08-30,2026-08-30
developer_mannjadwani,8/23/2026,"Deepseek just beat USA Again",253,117,370,2026-08-30,2026-08-30
developer_mannjadwani,8/21/2026,"How to get 1 billion tokens for free",3679,4610,8289,2026-08-30,2026-08-30
developer_mannjadwani,8/20/2026,"How to use your free ChatGPT plan to do agent coding",5501,4982,10483,2026-08-30,2026-08-30
developer_mannjadwani,8/19/2026,"Beat AI Skills",2156,1994,4150,2026-08-30,2026-08-30
developer_mannjadwani,8/18/2026,"This is a Professional AI Tools",378,379,757,2026-08-30,2026-08-30
developer_mannjadwani,8/15/2026,"This unreleased tool makes let's you make AI systems for free",209,401,610,2026-08-30,2026-08-30
