creator,date,caption,likes,comments,engagement,first_seen,last_seen
devtalksbusiness,7/4/2026,"Since so many people asked, I am finally revealing what I have been building for the last 1 year  Un",3642,395,4037,2026-08-30,2026-08-30
devtalksbusiness,3/5/2026,"Google just launch an AI tool that will beat Canva. It's totally free and you can use it unlimited t",549048,111165,660213,2026-08-30,2026-08-30
devtalksbusiness,8/29/2026,"Finally a meetup just for creators. Happening in Delhi on 6th Sept, 4pm -9pm Exact location to be sh",527,632,1159,2026-08-30,2026-08-30
devtalksbusiness,8/28/2026,"This bro is running a startup beating many jewellery brands.  Highly customising proposal rings for ",209,8,217,2026-08-30,2026-08-30
devtalksbusiness,8/27/2026,"Just sharing things, I wish I knew six years back",414,6,420,2026-08-30,2026-08-30
devtalksbusiness,8/28/2026,"Dev Taneja is the founder and CEO of Unjob.ai.  Alongside building the company, he's a business cont",3753,79,3832,2026-08-30,2026-08-30
devtalksbusiness,8/24/2026,"5 years of starting up 😳  #business #creators #content #startup #startupindia",1335,34,1369,2026-08-30,2026-08-30
devtalksbusiness,8/19/2026,"Ep 16: Building your freelance business   #business #freelance #editing #content #musiclover",4122,3005,7127,2026-08-30,2026-08-30
devtalksbusiness,8/18/2026,"Once he that every first year or college student should learn and start doing it right now because t",1109,24,1133,2026-08-30,2026-08-30
devtalksbusiness,8/17/2026,"This will be Delhi NCR's biggest creator meetup! A lot of creators from 50K to 3M followers will be ",884,1297,2181,2026-08-30,2026-08-30
devtalksbusiness,8/11/2026,"Found this free prompt website, which I can copy any prompt for any image that I would like to recre",1431,612,2043,2026-08-30,2026-08-30
devtalksbusiness,8/7/2026,"This might be my biggest hiring till now!!! looking for a lot of them for freelance full-time and in",11706,25965,37671,2026-08-30,2026-08-30
