creator,date,caption,likes,comments,engagement,first_seen,last_seen
kushal_vijay_,5/31/2026,"RCB, Me & AI...  May was a super month, met and worked with so many inspiring people.   It was all b",4610,24,4634,2026-08-30,2026-08-30
kushal_vijay_,3/22/2025,"Roorkee was fun.. . . . Thank you everyone for all the love and support ❤️ It was an honor to addres",13569,61,13630,2026-08-30,2026-08-30
kushal_vijay_,6/9/2024,"Every middle-class boy's dream...❤️  .  .  .  My father along with my sister and bhua ji visited me ",35829,223,36052,2026-08-30,2026-08-30
kushal_vijay_,8/29/2026,"August was fun...  Visited Mahakaleshwar Temple, had some delicious food in Indore  Hosted my 7th ha",2482,17,2499,2026-08-30,2026-08-30
kushal_vijay_,8/28/2026,"3D Website in minutes with Replit Design  Replit design infuses real-world UI patterns from a librar",88,74,162,2026-08-30,2026-08-30
kushal_vijay_,8/26/2026,"5 New High Paying AI job roles to watch in 2026 Save!!  - RL Environment Engineer - OpenClaw / Compu",176,184,360,2026-08-30,2026-08-30
kushal_vijay_,8/22/2026,"Razorpay announced AI Buildathon 2026 and  hiring students for its AI Builder Internship  Program: R",404,561,965,2026-08-30,2026-08-30
kushal_vijay_,8/18/2026,"If you use Claude AI, Save this!!  Anthropic announced watermarking all claude responses using Googl",159,12,171,2026-08-30,2026-08-30
kushal_vijay_,8/13/2026,"Biggest AI Hackathon and Open Source Program for 2026 SAVE!  Program Name- Monad Foundation Open Sou",422,443,865,2026-08-30,2026-08-30
kushal_vijay_,8/10/2026,"5 Weeks AI Engineer Roadmap  Learn Python, Most important pillar to build multi agent systems - Week",5957,6604,12561,2026-08-30,2026-08-30
kushal_vijay_,8/5/2026,"Opportunity for College Students and Graduates SAVE!  Standford Universiry is hosting FREE Career Wo",3722,3368,7090,2026-08-30,2026-08-30
kushal_vijay_,8/4/2026,"15 AI Projects That Will get you Hired in 2026  In the doc I have covered 15 AI Prpjects and a compl",2472,4019,6491,2026-08-30,2026-08-30
