creator,date,caption,likes,comments,engagement,first_seen,last_seen
nick_saraev,8/28/2026,"Comment ""SKILL"" to get Nvidia SkillSpector to protect your Claude Code from getting hacked.   If you",2404,1842,4246,2026-08-30,2026-08-30
nick_saraev,8/27/2026,"Comment ""GOOGLE"" to get these 100+ skills from Google turn Claude Code into a Google expert.  Google",1638,2033,3671,2026-08-30,2026-08-30
nick_saraev,8/26/2026,"Comment ""CLAUDE"" to get these 5 plugins and skills for your Claude Code Setup.  If you're using Clau",2811,3684,6495,2026-08-30,2026-08-30
nick_saraev,8/25/2026,"Comment ""PLUGIN"" to get these 3 AI scrapers.   These 3 Claude plugins let you scrape anything off th",2993,3511,6504,2026-08-30,2026-08-30
nick_saraev,8/24/2026,"Comment ""CLI"" to get this AI Plugin to connect Claude Code to any app you use.  This free Claude Plu",2493,3462,5955,2026-08-30,2026-08-30
nick_saraev,8/23/2026,"Comment ""APPLE"" to get this Claude skill to design like Apple.  You can now create Apple level websi",2716,4589,7305,2026-08-30,2026-08-30
nick_saraev,8/22/2026,"Comment ""DEEPSEEK"" to get DeepSeek Harness and build your own custom AI agent.  DeepSeek just launch",4975,3576,8551,2026-08-30,2026-08-30
nick_saraev,8/21/2026,"Comment ""LTX"" to get this new Free and Opensource AI Video Generator.   You don't need to pay for Ve",2724,4326,7050,2026-08-30,2026-08-30
nick_saraev,8/17/2026,"Comment ""VIDEO"" to try MiniMax H3, the new open-source AI video model.  China just released a free A",5164,8289,13453,2026-08-30,2026-08-30
nick_saraev,8/15/2026,"Comment ""DESIGN"" to get these Claude Code plugins to design better UIs.   If you want better front-e",7984,8964,16948,2026-08-30,2026-08-30
nick_saraev,8/13/2026,"Comment ""SKILL"" to get Agent Skills and start vibe coding like a senior engineer.  This Claude skill",4477,7675,12152,2026-08-30,2026-08-30
nick_saraev,8/11/2026,"Comment ""DESIGN"" to get Replit Design to build entire brands with zero design experience.  You can n",703,492,1195,2026-08-30,2026-08-30
