creator,date,caption,likes,comments,engagement,first_seen,last_seen
roshanvadassery,11/17/2024,"Hackathon Finals, Day 16/69 #MakeIndiaCode🇮🇳  My goal was to make something entirely using ai, and",581122,2118,583240,2026-08-30,2026-08-30
roshanvadassery,11/13/2024,"Attendance Manager, Day 12/69 #MakeIndiaCode🇮🇳  College is a great place to meet and work with peo",168311,1021,169332,2026-08-30,2026-08-30
roshanvadassery,12/12/2023,"Apps are nothing but solutions to problems, and solving problems is important. I believe everyone sh",99861,433,100294,2026-08-30,2026-08-30
roshanvadassery,8/17/2026,"you all can refer to this written version here to emulate the machine learning pipeline that happens",872,47,919,2026-08-30,2026-08-30
roshanvadassery,5/21/2026,"have been experimenting and building using multiple agents to get a lot of engineering tasks done.  ",922,50,972,2026-08-30,2026-08-30
roshanvadassery,3/21/2026,"The best part about programming something is that it becomes a repeatable process and videos are a g",12904,482,13386,2026-08-30,2026-08-30
roshanvadassery,3/14/2026,"Comment ""Bounty"" to get the submission form.  All the best!  #bounty #ad #foryou #viral",3563,1475,5038,2026-08-30,2026-08-30
roshanvadassery,3/5/2026,"free workshop link in bio.  #foryou #ai #automation",731,47,778,2026-08-30,2026-08-30
roshanvadassery,3/3/2026,"Public beta is now live. I have been teasing Zopu ai on my stories from the last few months. The jou",162,26,188,2026-08-30,2026-08-30
roshanvadassery,1/25/2026,"A gracious review from @roshanvadassery & @not._.priyaa , following their exquisitely curated weddin",1243,25,1268,2026-08-30,2026-08-30
roshanvadassery,1/22/2026,"zopu.ai/business has grown a lot in the last few months and so have I and the team.   Getting to wor",1294,41,1335,2026-08-30,2026-08-30
roshanvadassery,12/28/2025,"Mr and Mrs Permissionless ☺️🧿  We tied the knot at Guruvayoor in the presence of close friends and ",16051,191,16242,2026-08-30,2026-08-30
