creator,date,caption,likes,comments,engagement,first_seen,last_seen
saban.talks,2/8/2026,"I was invited to share my journey and industry experience at BITS Pilani Goa Campus. Thanks to @devs",1641,36,1677,2026-08-30,2026-08-30
saban.talks,2/15/2026,"How much am I really spending on AI code editors each month? 👀💻",2322,61,2383,2026-08-30,2026-08-30
saban.talks,12/31/2025,"2025: A year of upgrades 🚀 Built projects, contributed to open source, switched roles, and shared w",5708,66,5774,2026-08-30,2026-08-30
saban.talks,8/28/2026,"Follow and comment ""Link"" for the full toturial",883,549,1432,2026-08-30,2026-08-30
saban.talks,8/23/2026,"A user finishes their free trial, deletes cookies, creates another account, and gets the trial again",586,11,597,2026-08-30,2026-08-30
saban.talks,8/20/2026,"We're reviewing some developer portfolio websites 👀  If you're planning to build or improve your ow",1436,331,1767,2026-08-30,2026-08-30
saban.talks,8/17/2026,"When it comes to projects, what matters is whether you actually understand what you're claiming.  Ca",826,4,830,2026-08-30,2026-08-30
saban.talks,8/14/2026,"Share your portfolio with others in the comment section 🙌 and take inspiration from others and make",3045,501,3546,2026-08-30,2026-08-30
saban.talks,8/13/2026,"Konsa tool nahi hai tumhare pas?",2287,49,2336,2026-08-30,2026-08-30
saban.talks,8/9/2026,"Ever noticed an app's UI changing without downloading an update from the App Store? It isn't always ",3194,33,3227,2026-08-30,2026-08-30
saban.talks,8/7/2026,"Every engineering team has that person.  ""Don't worry, I'll rewrite the whole service.""  2–3 months ",662,12,674,2026-08-30,2026-08-30
saban.talks,8/3/2026,"API cancellation = stopping a request that's no longer needed.  It prevents race conditions, saves b",1262,11,1273,2026-08-30,2026-08-30
