creator,date,caption,likes,comments,engagement,first_seen,last_seen
sanskarr.tiwari,7/3/2026,"comment ""link"" will send i have been documenting a lot on this page but claude was able to include m",1034,1012,2046,2026-08-30,2026-08-30
sanskarr.tiwari,8/30/2026,"comment ""link"" for the full mobile app build course 👇  Steve Jobs' rule for picking what to build: ",23,1,24,2026-08-30,2026-08-30
sanskarr.tiwari,8/30/2026,"comment ""link"" for the full mobile app build course 👇  step 1 is not code. it's a Google Doc.  befo",17,1,18,2026-08-30,2026-08-30
sanskarr.tiwari,8/30/2026,"comment ""link"" for the full mobile app build course 👇  my first prompt for any new app: one folder ",31,9,40,2026-08-30,2026-08-30
sanskarr.tiwari,8/28/2026,"comment ""link"" and I'll send you the site 👇  5 years ago I had the chance to sell a course. 24,000 ",7,1,8,2026-08-30,2026-08-30
sanskarr.tiwari,8/28/2026,"comment ""link"" for the full tutorial 👇  one podcast. 10 cuts. posted in a single day, at 1am. aroun",23,11,34,2026-08-30,2026-08-30
sanskarr.tiwari,8/28/2026,"comment ""link"" and I'll send you the course 👇  I wasn't sure how many people would buy my course. s",9,2,11,2026-08-30,2026-08-30
sanskarr.tiwari,8/28/2026,"the most-cited AI hardware analyst just said the quiet part out loud:  ""anyone can make money off co",31,1,32,2026-08-30,2026-08-30
sanskarr.tiwari,8/28/2026,"comment ""link"" for the full mobile app build course 👇  $1,000 MRR at 80% profit margin. this is why",32,5,37,2026-08-30,2026-08-30
sanskarr.tiwari,8/28/2026,"comment ""link"" for the full mobile app build course 👇  Cal AI sold for $100M. then people copied it",64,12,76,2026-08-30,2026-08-30
sanskarr.tiwari,8/27/2026,"Everyone can vibe code now. Almost nobody ships.  That's the real gap. Getting AI to write an app is",29,5,34,2026-08-30,2026-08-30
sanskarr.tiwari,8/26/2026,"Comment ""link"" and I'll DM you the episode.  Building for 1 million users when you can't get 100. Co",14,1,15,2026-08-30,2026-08-30
