creator,date,caption,likes,comments,engagement,first_seen,last_seen
shashwat___agarwal,8/21/2026,"Comment ChatGPT for the codes and supercharge your work",102052,51609,153661,2026-08-30,2026-08-30
shashwat___agarwal,8/18/2026,"Ep2: Structuring and Automating my Family Business  Today people can automate and make a lot of othe",657,1649,2306,2026-08-30,2026-08-30
shashwat___agarwal,7/26/2026,"Ep1: Structuring & Automating my Traditional Metal Family Business  I've taken a risk of leaving my ",219,13,232,2026-08-30,2026-08-30
shashwat___agarwal,8/28/2026,"AI vocabulary should help you use AI and not make you feel behind.  This is my first carousel here, ",53,0,53,2026-08-30,2026-08-30
shashwat___agarwal,8/27/2026,"Save you claude token usage with these 3 skills I use all the time. The best one is the one I made -",906,692,1598,2026-08-30,2026-08-30
shashwat___agarwal,8/24/2026,"Unlimited Lead Generation and Webscrapping with this free github repo. Comment for the link",975,2053,3028,2026-08-30,2026-08-30
shashwat___agarwal,8/17/2026,"The biggest problem with Vibecoded apps is that making them is easy but they're full of security loo",920,420,1340,2026-08-30,2026-08-30
shashwat___agarwal,8/15/2026,"Happy Independence Day to all",136,8,144,2026-08-30,2026-08-30
shashwat___agarwal,8/14/2026,"Sachchai kaun bataye! 🥹🥲",211,2,213,2026-08-30,2026-08-30
shashwat___agarwal,8/13/2026,"This will take you ahead of 99% people. You dont need to take any AI course.   Although the most imp",745,338,1083,2026-08-30,2026-08-30
shashwat___agarwal,8/12/2026,"Turn Claude code into a website agency that scrapes leads of local businesses, analyses them, ranks ",3154,12731,15885,2026-08-30,2026-08-30
shashwat___agarwal,8/11/2026,"Follow me for more such content! @shashwat___agarwal   A free open source alternative to Eleven Labs",2859,191,3050,2026-08-30,2026-08-30
