creator,date,caption,likes,comments,engagement,first_seen,last_seen
socialmasla,7/28/2026,"💰 Want to make more with AI? Start by learning from the right creators.  #ai #claude #chatgpt #prod",87480,39249,126729,2026-08-30,2026-08-30
socialmasla,7/24/2026,"🚨 ChatGPT is fooling you  #ai #chatgpt #prompt",97702,100005,197707,2026-08-30,2026-08-30
socialmasla,6/5/2024,"Here's a good reason to stop you from using Boost Post and start using Ads Manager instead!  You don",11881,369,12250,2026-08-30,2026-08-30
socialmasla,8/27/2026,"🚨 Stop paying ₹20,000 for Social Media Marketing courses.  #fbads #metaads #socialmediamarketing #d",2165,87,2252,2026-08-30,2026-08-30
socialmasla,8/25/2026,"🚨 Meta just changed how ads can start conversations.  #fbads #metaads #digitalmarketing #instagramm",1989,41,2030,2026-08-30,2026-08-30
socialmasla,8/24/2026,"Stop Wasting ₹15,000 on YouTube Marketing Courses  #digitalmarketing #youtube #youtubemarketing",2785,94,2879,2026-08-30,2026-08-30
socialmasla,8/22/2026,"🚨 Stop Wasting ₹1 Lakh on AI Agency Courses!  #aiagency #artificialintelligence #automation #entrep",11551,697,12248,2026-08-30,2026-08-30
socialmasla,8/18/2026,"🚨 Stop Wasting ₹15,000 on Meta Ads Courses!  #fbads #metaads #digitalmarketing #advertising",11498,458,11956,2026-08-30,2026-08-30
socialmasla,8/14/2026,"🙏🏻 @meta please!!!  #fbads #metaads #digitalmarketing #performancemarketing",9063,521,9584,2026-08-30,2026-08-30
socialmasla,8/13/2026,"🚨 Let Claude fix your website  #seo #technicalseo #claude #jsonld",2110,305,2415,2026-08-30,2026-08-30
socialmasla,8/12/2026,"🚨 Your RTO problem isn't what you think.  #dtc #fbad #metaads #ecommerce",634,14,648,2026-08-30,2026-08-30
socialmasla,8/11/2026,"🚨 Why are your ads attracting cheap clients?  #fbads #leadgeneration #digitalmarketing #metaads",2946,51,2997,2026-08-30,2026-08-30
