creator,date,caption,likes,comments,engagement,first_seen,last_seen
tanishqharjani,8/30/2026,"",11,0,11,2026-08-30,2026-08-30
tanishqharjani,7/30/2026,"The seat at the table is yours",791,3,794,2026-08-30,2026-08-30
tanishqharjani,10/7/2025,"By the age of 26, I've done everything I ever wanted to do. Built a 6-figure remote business, worked",10801,67,10868,2026-08-30,2026-08-30
tanishqharjani,5/30/2026,"Dm ""Agent"" if you want to work 1 - 1 with me to help you set this up for your personal brand",1243,335,1578,2026-08-30,2026-08-30
tanishqharjani,5/11/2026,"To post every day, you don't need to create every day.  This is how we got Iman 2.5 billion views a ",701,433,1134,2026-08-30,2026-08-30
tanishqharjani,5/24/2026,"Hi my name is Tanishq and by the age of 26 I've already lived 8 different lives.  Helped this guy bu",758,11,769,2026-08-30,2026-08-30
tanishqharjani,5/25/2025,"POV the little online biz thing worked out and you flew your parents to Dubai",188,6,194,2026-08-30,2026-08-30
tanishqharjani,6/26/2024,"",315,9,324,2026-08-30,2026-08-30
tanishqharjani,6/23/2024,"Happy 9 month anniversary to the day I meant to post these photos",328,4,332,2026-08-30,2026-08-30
tanishqharjani,6/21/2024,"City to city we get the job done",356,0,356,2026-08-30,2026-08-30
tanishqharjani,6/9/2024,"Could Ruin your health though  While counting calories is a good place to start completely ignoring ",242,2,244,2026-08-30,2026-08-30
tanishqharjani,6/9/2024,"Pinstripes, parties, paella, and pectorals",434,2,436,2026-08-30,2026-08-30
