creator,date,caption,likes,comments,engagement,first_seen,last_seen
thevibefounder,2/22/2026,"10 months ago I had no clue where to start with AI building.  Too many tools, too much noise, no fir",928,162,1090,2026-08-30,2026-08-30
thevibefounder,8/30/2026,"He built infinite AI TV. Twitch pulled it.  The wild part is not the ban. It is that the model rende",319,5,324,2026-08-30,2026-08-30
thevibefounder,8/29/2026,"LinkedIn Just Got an AI Job-Hunting Upgrade  Still spending hours scrolling through job boards and s",438,591,1029,2026-08-30,2026-08-30
thevibefounder,8/29/2026,"OpenAI says it plans to end the contract that gives Cursor direct access to its models. November 12,",453,33,486,2026-08-30,2026-08-30
thevibefounder,8/29/2026,"A full room. One table. Some of the most thoughtful people shaping what comes next in sports, media,",530,11,541,2026-08-30,2026-08-30
thevibefounder,8/29/2026,"Claude can now operate real machines.  Anthropic's Model Hardware Standard gives AI agents one inter",212,1,213,2026-08-30,2026-08-30
thevibefounder,8/27/2026,"A real robot for $399.  Hugging Face and Pollen Robotics just unveiled Microduck: a 25 cm open-sourc",63,4,67,2026-08-30,2026-08-30
thevibefounder,8/27/2026,"We are all in the business of telling stories.",84,16,100,2026-08-30,2026-08-30
thevibefounder,8/27/2026,"OpenAI says its first AI chip beats Nvidia by up to 4.1×.  In OpenAI's DeepSeek R1 test, Jalapeño de",183,11,194,2026-08-30,2026-08-30
thevibefounder,8/27/2026,"Stop Guessing Image Prompts  While everyone is fighting over ChatGPT, Gemini, and Claude, someone qu",285,278,563,2026-08-30,2026-08-30
thevibefounder,8/27/2026,"50+ healthcare and wellness experts packed a room in NYC on a Friday night.  Surgeons, physicians, n",296,33,329,2026-08-30,2026-08-30
thevibefounder,8/26/2026,"Stop Paying Agencies for 3D Websites  Apple's design agency might need to update its resume after th",299,276,575,2026-08-30,2026-08-30
