creator,date,caption,likes,comments,engagement,first_seen,last_seen
vaibhavsisinty,4/5/2025,"Need a tool? You don't need a developer. You can build it yourself.  In this reel, Vaibhav Sisinty s",252969,1747,254716,2026-08-30,2026-08-30
vaibhavsisinty,7/3/2025,"Which AI tool has actually helped you grow in your career?  In today's episode, we have @vaibhavsisi",175636,351,175987,2026-08-30,2026-08-30
vaibhavsisinty,8/29/2026,"Report bad food with just your voice  IAS officer Tukaram Mundhe shut down McDonald's, Domino's, a B",19458,158,19616,2026-08-30,2026-08-30
vaibhavsisinty,8/28/2026,"15 free Google AI tools  Every company needs marketing, design, coding and operations. Google now ha",8616,2635,11251,2026-08-30,2026-08-30
vaibhavsisinty,8/27/2026,"Sam Altman said something really insane!  Sam Altman says OpenAI will have a system it would call AG",3342,57,3399,2026-08-30,2026-08-30
vaibhavsisinty,8/27/2026,"@cashfree.payments Relay does what chatbots can't  Most AI gives you a template and says hope this h",1807,37,1844,2026-08-30,2026-08-30
vaibhavsisinty,8/25/2026,"TCS just bought a part of Porsche company.  TCS acquired Porsche's tech company MHP for 373 million ",9027,45,9072,2026-08-30,2026-08-30
vaibhavsisinty,8/24/2026,"An AI that investigates like Sherlock  A startup called Sixtyfour just launched Atlas. Feed it a nam",2546,35,2581,2026-08-30,2026-08-30
vaibhavsisinty,8/22/2026,"Had an incredible time meeting the people leaders of Asia and talking AI at @peoplematters",3,20,23,2026-08-30,2026-08-30
vaibhavsisinty,8/21/2026,"Stop paying for premium AI tools!  Ten popular AI subscriptions in this carousel. Every single one o",10460,1577,12037,2026-08-30,2026-08-30
vaibhavsisinty,8/20/2026,"This AI Turns Potholes Into Complaints 🚨   Bengaluru potholes were destroying @gkcs__ car. Twelve o",180288,2836,183124,2026-08-30,2026-08-30
vaibhavsisinty,8/19/2026,"Your CCTV Is Deleting Free Money  Online, you know every click. Walk into a shop and you know almost",5021,103,5124,2026-08-30,2026-08-30
